speaker,text,party,date,agenda,speechnumber,procedure_ID,partyfacts_ID,period,chair,MEP,commission,written,multispeaker,link,translationInSpeech,translatedText
President,Thank you very much. You can be assured that the Parliament is willing to cooperate very well with you.,-,2024-02-28,13. Financial activities of the European Investment Bank - annual report 2023 (debate),23, ,,9,True,False,False,False,False,https://www.europarl.europa.eu/doceo/document/CRE-9-2024-02-28-ITM-013_EN.html,,
Nadia Calviño Santamaría,"Mr President, Members of the European Parliament, dear Commissioner, thank you very much. Five points from my side. First of all, to thank you for your statements and ideas, for the support and the trust that the vast majority of the persons and the groups in this Parliament have shown for the European Investment Bank Group. Also, thank you very much for your suggestions on how we can improve our contribution to European policies. You have mentioned words such as competitiveness, economic security, re-industrialisation, mobilising and catalysing private investment, the climate change and the green transition. All of these elements are within our strategic priorities, as testified by our investments in 2023 and the results that are included in your report. So thank you very much. Second point is also to thank the European Commission for its mandate. As you rightly pointed out, throughout the guarantees and mandates coming from the European budget agreed by all European institutions – and I know very well how important the role is of the European Parliament in getting those funds to fund the mandates and the guarantees – we have European successes. Joint successes like InvestEU, it has been mentioned, to fund strategic investment to fund the European industry; the NDICI, the core of our external action in our neighbourhood and beyond. So, going forward, keeping those mandates and guarantees will be absolutely indispensable if we want the European Investment Bank Group to continue to leverage the funds, the capital and the European budget, mobilising public and private investment and thus closing the investment gap and making all these transitions a European success. My third point is to thank wholeheartedly also Mr Fernandes and Ms Győri; they have mentioned SMEs and this is at the core of the mandate, not only of the bank but also very especially of the European Investment Fund. We have been not only providing financing and supporting European SMEs, but also scaling up startups and supporting European strategic technologies so that these startups can remain in Europe and do not have to go abroad to get the necessary financing to grow as fast as possible. SMEs are at the heart of our economic tissue, and we are strongly committed to contributing and to continue to develop innovative financial instruments to provide support to these companies and allow them to also benefit from the green and digital transition. My fourth point has to do with cohesion and social infrastructures. Both Mr Papadimoulis, Mr Fernández, you have stressed how important it is to ensure that our policies and our investments get to those parts of Europe that are less rich, less developed. Almost half of our financing inside the EU last year went to these regions. And this is, as I explained in my introductory remarks, not only fair, not only just not only correct, it is also smart if we want to continue to have strong growth and prosperity throughout the whole EU. A fourth important point made by Mr. Goerens, Mr Heinäluoma, Ms Yon-Courtin and also by Mr Wallace, in a very different sense, has to do with security and defence. If we do not have security we cannot have prosperity, we cannot defend our mode of life, we cannot defend our shared values. That is why it is important at this point in time and this geopolitical context, to step up our activities and our support for European industry in the areas of security and defence. For the past eight years, the EIB Group has been supporting the European security and defence industry. We have put in place the strategic programme with up to EUR 8 billion. We have mobilised innovative financing with this new defence equity facility managed by the European Investment Fund. Here, we are talking about defence. And when we’re talking about defence, we’re talking about drones, we’re talking about new technologies, we’re talking about ports for our navies. It is air transport capabilities for our airborne forces, it is border protection, it is satellites that can be used for civil objectives, but also by militaries. It is cyber security against Russian attacks. It is space, where the European Investment Bank is amongst the biggest financiers in Europe already. That is why we had a very important exchange with European finance ministers last Friday and we agreed two concrete takeaways. To engage with the European Commission and other stakeholders on the definition and scope of dual use; I will report back in two months’ time to European finance ministers on where we are in this definition. Secondly, to work together to accelerate the investment of the EUR 6 billion remaining under this facility, providing streamlined processes and also a single window, so as to facilitate the investments that are necessary at this point in time. Our security also has to do with supporting Ukraine at this point in time, no doubt about it. That is why when we are talking about actions outside the EU, we are also supporting the efforts of this country right now and will, I hope, very soon, engage in mobilising private investment for the reconstruction of the country. A final point on climate. Mr Polčák, Mr Cormand, of course, and many others have mentioned the importance of Europe making the green transition a success. That is why we have been investing in all key technologies for the green transition. Ms Benjumea and others have spoken about some specific technologies. Let me be very clear: the European Investment Bank has been financing net-zero technologies in the past. We have been investing in R&D, in the fuel cycle, in security. Only some weeks ago, we financed more than EUR 100 million in Romania to ensure the recovery of tritium, a nuclear fuel. We do this hand in hand with Euratom, so fully aligned with European policies. That is what we will continue to do, supporting R&D and all technologies that are playing a key role in the green transition, with a very special emphasis on renewables, which is obviously our top priority and where the European Investment Bank Group is already playing a very important role. Let me close here, thanking you again for this very productive exchange and looking forward to deepening our cooperation in the coming years.",-,2024-02-28,13. Financial activities of the European Investment Bank - annual report 2023 (debate),22, ,,9,False,False,False,False,False,https://www.europarl.europa.eu/doceo/document/CRE-9-2024-02-28-ITM-013_EN.html,,
Kadri Simson,"Mr President, I would like to thank the Parliament Members for the enlightening debate held today. The report testifies, overall, that the EIB Group is on a good path, in particular as a frontrunner in the area of climate action. Nevertheless, the challenges ahead of us warrant a closer than ever cooperation with the EIB Group to ensure that its activities are aligned with the evolving economic and geopolitical context, new and emerging risks, and EU policy priorities. The Commission, as the main provider of mandates to the EIB Group, will continue to cooperate in a fruitful manner in order to advance the EU policy agenda in the EU as well as outside the Union. I look forward to continuing our close cooperation with the EIB Group and the European Parliament to support EU policy goals.",-,2024-02-28,13. Financial activities of the European Investment Bank - annual report 2023 (debate),21, ,,9,False,False,True,False,False,https://www.europarl.europa.eu/doceo/document/CRE-9-2024-02-28-ITM-013_EN.html,,
Clare Daly,"Mr President, the European Investment Bank has approved loans of EUR 650 million for Israeli infrastructure since the launch of its latest genocidal attack in Gaza. To give you an idea of the scale of what that represents, it’s the equivalent of 90 % of the EIB’s total investment in Palestine since its first loan in 1995. From 1995 to date, it’s invested more than EUR 2 billion in Israel, compared to EUR 725 million in Palestine. At the same time, we’ve seen countless examples of Israel destroying EU-funded projects with impunity in the West Bank, assets worth hundreds of thousands of euros, funded by countries like Ireland, being routinely destroyed by settlers. You’ve even managed to approve a loan to Israeli’s Leumi Bank for EUR 240 million in December, the same bank which has frozen UNRWA bank accounts. I’m wondering at this stage as to whether you’re actually complicit in genocide. (End of catch-the-eye procedure)",The Left,2024-02-28,13. Financial activities of the European Investment Bank - annual report 2023 (debate),20, ,6402.0,9,False,True,False,False,False,https://www.europarl.europa.eu/doceo/document/CRE-9-2024-02-28-ITM-013_EN.html,,
Mick Wallace,"Mr President, it’s often forgotten that the European Union was founded primarily as a means to prevent future wars. The European Investment Bank was established in the 1958 Treaty of Rome with a mission to facilitate equitable development in the EU through lending to regions that are less developed and to support the EU’s internal market. The EIB’s current mission statement is to boost Europe’s potential in terms of jobs and growth, support action to mitigate climate change and promote EU policies outside the EU. Yesterday, however, the EIB president said the bank was ready to do more and better to contribute to projects which boost the European defence industry. Can anyone tell me how a bank with a mission statement to facilitate equitable development throughout EU Member States can justify committing funding to defence industry to the tune of EUR 8 billion? It’s worrying to hear that the EIB president says that supporting the US/NATO proxy war in Ukraine is a priority now. This is turning into a money laundering exercise for the military industrial complex. The architects of the Treaty of Rome would be turning their graves if they knew that the European Investment Bank had turned into a de facto money lender to the EU arms industry.",The Left,2024-02-28,13. Financial activities of the European Investment Bank - annual report 2023 (debate),19, ,6402.0,9,False,True,False,False,False,https://www.europarl.europa.eu/doceo/document/CRE-9-2024-02-28-ITM-013_EN.html,,
President,"Just to inform you, colleagues, that I am now closing the catch-the-eye list. We have three people on it, but we are running late. We have a big vote at 17.00 so I’ll take the three. There will be no catch-the-eye in the next debate.",-,2024-02-28,13. Financial activities of the European Investment Bank - annual report 2023 (debate),8, ,,9,True,False,False,False,False,https://www.europarl.europa.eu/doceo/document/CRE-9-2024-02-28-ITM-013_EN.html,,
Kadri Simson,"Mr President, honourable Members, dear colleagues from the EIB, I would like to welcome this report and thank Parliament’s Committee on Budgets and in particular its rapporteur, David Cormand. The EIB Group has been instrumental in the implementation of the EU policies inside and outside the Union, from its support to the Green Deal, to the rollout of Global Gateway and in the deployment of InvestEU. In the current tense geopolitical circumstances, the EIB’s stronger involvement and support of EU strategic priorities is indispensable. As we look ahead, there are a few points I want to highlight. First, the EU’s competitiveness: we need to strengthen the EU’s competitive edge, and we need the EU’s bank to work closely with us to make it happen. Innovative start-ups and scale-ups are key to Europe’s future economy and society. Both the EIB and the EIF are well placed to help create a favourable investment environment, provide venture capital, and catalyse public and private funding. I appreciate the rapporteur’s focus on the importance of the EIF, particularly its role in enabling SMEs to scale up their operations. To highlight, the number of EIF-supported SMEs throughout 2023 amounted to 350 000. Competitiveness must go hand-in-hand with green and digital transitions. The EIB, as the EU’s investment bank and climate bank, is at the forefront of climate financing, and I welcome that. In 2023, more than half of the EIB’s financing was deployed for climate and environmental sustainability objectives. The EIB contributed to REPowerEU and the recent approval of EUR 5 billion in support of our wind power package are worthy examples to be mentioned. In view of new and emerging risks, the EIB Group has a large role to play in strengthening our economic security. The EIB Group should also adapt and step up its support to foster research and development of the EU industrial base in such strategic areas as advanced semiconductors, quantum computing, biotechnology, net-zero industries, clean energy and critical raw materials. Second, let me recall the impressive role of the EIB Group in implementing our flagship investment programme, InvestEU. The implementation is well on track, and I am happy to see that the EIB and the EIF are generating many operations under InvestEU to support the EU priorities of overall resilience of the EU economy. Third, EIB activities outside the EU: the Global Gateway strategy is a geopolitical project to position the EU in a competitive international marketplace, while supporting our partner countries in responding to their investment needs. In 2023, we have worked hard with the EIB to implement EFSD+, the financial arm of NDICI – Global Europe, resulting in around EUR 3.7 billion in EIB financing against EUR 2.5 billion in 2022. The EIB should continue supporting the rollout of the strategy in line with EU priorities such as sustainable connectivity, boosting security of global supply chains, and facilitating clean and digital transitions. At the same time, EIB intervention should be focused on where it brings the highest additionality and added value both for our partner countries and the EU. Fourth, I have to highlight the EIB’s role in Ukraine. It will be important to gradually increase EIB operating capacity and to prioritise investments in line with the Ukraine plan. With the anticipated imminent approval of the EUR 50 billion Ukraine Facility, the EIB is expected to play a major role in implementing its investment pillar. I expect the EIB to coordinate closely with other implementing partners to ensure high complementarity and best possible delivery. Fifth, Russia’s war dramatically changed the security paradigm here in Europe. We need to increase our defence readiness and this requires a joint effort, including from the EIB. We cannot ignore the geopolitical threats and the needs of Ukraine and the EU to defend itself. I particularly welcome the Defence Equity Facility established with the EIF, which is a first step in support of innovative companies developing technologies with dual-use applications. While we support the EIB commitment to reach EUR 8 billion by 2027 in financing to defence and security, further efforts should be taken to assist the European defence industry in line with the latest Ecofin discussions.",-,2024-02-28,13. Financial activities of the European Investment Bank - annual report 2023 (debate),6, ,,9,False,False,True,False,False,https://www.europarl.europa.eu/doceo/document/CRE-9-2024-02-28-ITM-013_EN.html,,
President,"Thank you very much, Madam President, for your very comprehensive presentation of the EIB’s priorities.",-,2024-02-28,13. Financial activities of the European Investment Bank - annual report 2023 (debate),5, ,,9,True,False,False,False,False,https://www.europarl.europa.eu/doceo/document/CRE-9-2024-02-28-ITM-013_EN.html,,
President,"The debate is closed. During the next debate I would ask colleagues to stick to their speaking time, as we have another voting session, as you know, at 17.00. Written statements (Rule 171)",-,2024-02-28,12. Regaining our competitive edge - a prosperous EU in a fragmented global economy (topical debate),29, ,,9,True,False,False,False,False,https://www.europarl.europa.eu/doceo/document/CRE-9-2024-02-28-ITM-012_EN.html,,
Eva Maydell,"Mr President, Commissioner, dear colleagues, we are approaching the end of the term of the European institutions and while many like to look back on our record and take stock, I think, more importantly, we need to set a clear vision for the future we want to build in Europe. I think the only thing that has to be bigger than our ambitions to make Europe the best place to make business and the most competitive place in the world has to be our determination to make this a reality. That would mean, though, less bureaucracy and cutting red tape. That would mean greater focus on implementation. That would mean less fragmentation of our capital markets and more start-ups able to scale up. Today, I hope in this debate we can commit on Europe about the big ideas, Europe that has created the eurozone and the single market. We are facing a backdrop of global multi-crisis and I believe Brussels can ensure the economy can survive to unleash that vision of more unicorns, more growth and more opportunities for companies and people in Europe.",PPE,2024-02-28,12. Regaining our competitive edge - a prosperous EU in a fragmented global economy (topical debate),25, ,6398.0,9,False,True,False,False,False,https://www.europarl.europa.eu/doceo/document/CRE-9-2024-02-28-ITM-012_EN.html,,
Lara Wolters,"Mr President, so, European companies have the right to exploit children, they have the right to destroy forests and, most of all, European companies have the right not to ask any questions or right any wrongs. To be very clear, this is not what I think. This is what Emmanuel Macron, Giorgia Meloni and Christian Lindner have fought for together over the past weeks. And if I sound angry now, it’s because I am. We had a deal, but business lobbies would not give up and here we are. These leaders have now become convinced that accountability is a burden and human rights are a nice-to-have. For them, fair competition is speaking big words about European norms and values, and then encouraging a cut-throat race to the bottom. The European way of life, well apparently, that’s the European right to wealth at the expense of others. The cynicism of today’s developments, the shamelessness, the outrageous injustice of big business lobbies who tell their political leaders what to do instead of the other way round. And as always, the victims of corporates’ wrongdoing are ignored. Time is running out. I urge Member States to stop their political games and approve the due diligence law.",S&D,2024-02-28,12. Regaining our competitive edge - a prosperous EU in a fragmented global economy (topical debate),18, ,6399.0,9,False,True,False,False,False,https://www.europarl.europa.eu/doceo/document/CRE-9-2024-02-28-ITM-012_EN.html,,
Luděk Niedermayer,"Mr President, our global economy is changing very quickly. The main drivers are employment of new technologies, increased competitiveness of Asian economies, a decline in global trade as well as decarbonisation. This is completely changing level playing field for the factories. We did well in setting the policies, setting the predictable rules and the targets, but so far, we failed to support the transformation of the economy and the businesses, and obviously secure some financial support. Instead of having EU VAT single market consistent tax policies or financial support policies, we are going for relaxation of the rules and a fragmented policy, and this is far from being optimal. At the same time, our firms are still facing heavy regulation and fragmented rules. I guess competitiveness must become quickly a number one topic of EU, together with the security. It is really time to act.",PPE,2024-02-28,12. Regaining our competitive edge - a prosperous EU in a fragmented global economy (topical debate),12, ,6398.0,9,False,True,False,False,False,https://www.europarl.europa.eu/doceo/document/CRE-9-2024-02-28-ITM-012_EN.html,,
Gunnar Beck,"Mr President, in 2008, the EU economy was still noticeably larger than that of the US. Today, the US economy is more than a third larger. Year on year, the gap is widening because growth paths have been diverging. Even struggling post-Brexit Britain is easily outperforming Germany and France. So, why is Europe so manifestly and collectively failing? First, because of the Green Deal which assumes that the EU, with a share of about 8% of worldwide CO2 emissions, can singlehandedly limit global warming. The Green Deal is saving nothing, but it will certainly make poor people even poorer. Secondly, an inflationary monetary policy which sustains a vicious spiral of stagflation. Third, self-defeating sanctions and the dumbest energy policy in the world, which harm us more than Russia and which have replaced Germany’s dependence on cheap Russian gas with dependency on high-price Russian energy re-exported via India or Azerbaijan. Fourth, a truly fantastical migration policy which relies on unqualified mass migration as a replacement for tens of millions of native skilled labourers on the verge of retirement. The result of this suicidal policy mix, I sadly but confidently predict, will be the collapse both of the European economies and of our welfare states. Europe’s decline is often compared to that of the Roman Empire, but Rome declined over five centuries and was undermined by all-too-human decadence and overwhelmed by external forces. Modern Europe, by contrast, is experiencing the strangest death ever. It’s the first intentionally de-developing civil civilisation, both intellectually and economically. We have lost faith in everything except the woke ideology, which is defying the laws of nature, of scientific inquiry and of economic progress all at once. The whole world is secretly laughing at the closing of the European mind. So, the EU today, I’m sad to say, is making history for Chinese and Russian historians to record.",ID,2024-02-28,12. Regaining our competitive edge - a prosperous EU in a fragmented global economy (topical debate),10, ,,9,False,True,False,False,False,https://www.europarl.europa.eu/doceo/document/CRE-9-2024-02-28-ITM-012_EN.html,,
Kadri Simson,"Mr President, honourable Members, I have taken note of your comments and concerns and I will convey them to HR/VP Borrell. As you know, five days ago, the 13th package of sanctions against Russia was adopted. It requires unanimity and it will not remain the last one. Russia’s illegal, unjustified and unprovoked war of aggression against Ukraine has amplified internal repression, severely curtailing the freedoms of association, peaceful assembly and expression, drastically limiting media freedom, introducing more censorship and fundamentally undermining the independence of the judiciary and the fair trial guarantees. We repeat calls on Russia to fully implement all rulings of the European Court of Human Rights. On behalf of HR/VP, I can assure you that we will continue to call upon the Russian authorities to uphold their domestic and international obligations to respect, protect and fulfil human rights, including to uphold the rights of persons belonging to minorities and persons in vulnerable situations. We will continue to call on the Russian Federation to fully cooperate with the UN and all special procedures related to the human rights situation in the Russian Federation. This is not only our moral obligation, but so much more. It defines who we are and what do we believe in. Our shared values make us stronger together.",-,2024-02-28,11. The murder of Alexei Navalny and the need for EU action in support of political prisoners and oppressed civil society in Russia (debate),47, ,,9,False,False,True,False,False,https://www.europarl.europa.eu/doceo/document/CRE-9-2024-02-28-ITM-011_EN.html,,
Sven Mikser,"Madam President, following the recent developments in relation to Sweden’s accession to NATO, I would like to move the following oral amendment to paragraph 96. I suggest to delete the section of the paragraph beginning with the words ‘takes note’ until the words ‘without any further delay’, and to replace it with the following text: ‘welcomes, in this regard, Türkiye and Hungary’s long—delayed decision to approve Sweden’s accession to NATO’. Il Parlamento accetta di porre in votazione l'emendamento orale.",S&D,2024-02-28,17.2. Implementation of the common security and defence policy – annual report 2023 (A9-0403/2023 - Sven Mikser) (vote),1, ,6399.0,9,False,True,False,False,False,https://www.europarl.europa.eu/doceo/document/CRE-9-2024-02-28-ITM-017-02_EN.html,,
Chris MacManus,"Mr President, it’s difficult to vote for a report such as this without being conscious of comments by Ursula von der Leyen, which completely disregard Irish neutrality. Last week, President von der Leyen said that we need a Commissioner for defence. This is the European Union. If she’s interested in military alliances, there’s a job going at NATO. But keep Ireland out of your plans! The texts voted today also undermine national vetoes when it comes to foreign policy issues. Unanimity must be protected. This is evidenced by the Commission President’s handling of the humanitarian crisis in Gaza. Her actions severely damaged the EU’s credibility as a partner for peace and an honest broker for any future negotiations. And her initial response in backing Israel unconditionally has emboldened their brutal strategy in Gaza. This is the background to texts like ones voted today. And that is why we must say no!",The Left,2024-02-28,26.3. Implementation of the common foreign and security policy – annual report 2023 (A9-0389/2023 - David McAllister),1, ,6402.0,9,False,True,False,False,False,https://www.europarl.europa.eu/doceo/document/CRE-9-2024-02-28-ITM-026-03_EN.html,,
Kadri Simson,"Mr President, honourable Members, I want to thank you for this constructive debate. The Commission will continue to put forward measures to address all causes of accidents and illness at work. We will also continue to support the work on instruments such as the guides and tools produced by the European Agency for Safety and Health at Work to further help employers and workers prevent accidents and illness at work. I look forward to our continued cooperation on this matter and thank you once again for raising awareness of this very important issue.",-,2024-02-28,19. Preventing work-related deaths following the Florence tragedy (debate),16, ,,9,False,False,True,False,False,https://www.europarl.europa.eu/doceo/document/CRE-9-2024-02-28-ITM-019_EN.html,,
Kadri Simson,"Madam President, honourable Members, although the comeback of wolves is good news for biodiversity in Europe, the Commission fully acknowledges the complexities of the current situation. Wolves are returning to regions of the Union from which they have long been absent. Increasingly, this is leading to conflict and challenges for some stakeholders and especially for livestock farmers, because of increasing depredation and killing of livestock. For that reason, on 20 December last year, in line with the commitment we made and in response to the resolution passed by this House, the Commission published an in-depth analysis on the situation of the wolves in the EU. It contains, inter alia, the most up-to-date data available for wolf populations and damage to livestock. Our analysis confirmed that after a long period of persecution, leading to near extinction, European wolf populations have made a significant recovery. This has been especially noteworthy in the last two decades and wolves now occupy large areas of their former natural range. On the basis of this in-depth analysis, the Commission tabled a proposal for a Council decision on the same day, asking the Union to submit them an amendment to the Bern Convention on the Conservation of European Wildlife and Natural Habitats. The proposed amendment would move the wolf from Appendix 2 – that means strictly protected species – to Appendix 3. The proposal for a Council decision is now under consideration by Member States under the leadership of the Belgian Presidency. The Commission is looking forward to a swift decision on this proposal. At the same time, the Commission continues to urge local and national authorities to take appropriate action wherever necessary, as permitted by the derogation possibilities in the current legislation. Several Member States make regular use of such derogations to authorise lethal control of wolf specimens and specimens of other protected species as well. As stressed by the Commission on several occasions, it is key to keep investing in damage prevention measures. Indeed, irrespective of any decision on the legal status of the wolf, it will always be essential to adopt prevention measures in order to reduce livestock depredation. More and more Member States are now using the European Agricultural Fund for Rural Development to programme support for damage prevention actions and investments. For the period 2023-27, 15 Member States have included relevant measures in their CAP strategic plans, bringing tangible solutions to farmers and local communities. And as permitted under EU State aid rules, many Member States now provide full compensation to farmers whenever damage is caused by the wolf or other protected species. To achieve our common objectives, I would like to recall the recommendations that Commissioner Sinkevičius and Commissioner Wojciechowski have sent to all Member States in November 2021, inviting them to make the best possible use of all the available EU and national funding opportunities. The support from the Commission will continue. We are stepping up financial support as well as our help to national authorities and stakeholders to find suitable solutions to facilitate this coexistence, in line with EU legislation and policy goals.",-,2024-02-28,22. Need for an urgent Council decision in favour of amending the protection status of wolves in the Bern Convention (debate),2, ,,9,False,False,True,False,False,https://www.europarl.europa.eu/doceo/document/CRE-9-2024-02-28-ITM-022_EN.html,,
Thierry Breton,"Madam President, honourable Members, thank you for your interventions. The Commission has taken good note of them. I can only repeat what I said in my introduction. We all agree that freedom of expression and free and independent press are essential in any democratic society. As mentioned, a court in the United Kingdom is currently hearing Julian Assange’s extradition case. We do not comment on the ongoing judicial proceedings.",-,2024-02-28,25. The extradition and prosecution of Julian Assange and implications on freedom of the press (debate),15, ,,9,False,False,True,False,False,https://www.europarl.europa.eu/doceo/document/CRE-9-2024-02-28-ITM-025_EN.html,,
Barry Andrews,"Madam President, I want to add my voice of support to the campaign against the extradition of Julian Assange. I have very little faith in the quality of US justice. However, I want to focus on the second part of this debate: the implications on freedom of the press, because some of the sponsors of this debate are themselves no strangers to attacks on the press. One of the Irish parties of the left, Sinn Féin, identify that the extradition of Mr Assange is an attempt to suppress journalism. But this is the same party that was accused just a few weeks ago of deliberately targeting the media. According to a letter signed by the National Union of Journalists, Pen International and Reporters Without Borders, ‘the number of legal actions that have been filed by Sinn Féin members points to a coordinated campaign against the media in Ireland’. According to Index on Censorship, a UK-based watchdog: ‘We are not aware of members of any other Irish party taking a comparable number of concurrent cases against the media in recent years’. The other Irish MEPs on the left have a bit of form when it comes to suing media outlets as well. What we need is an honest debate about media freedom. We can’t choose the journalists that cover our activities as politicians.",Renew,2024-02-28,25. The extradition and prosecution of Julian Assange and implications on freedom of the press (debate),13, ,6401.0,9,False,True,False,False,False,https://www.europarl.europa.eu/doceo/document/CRE-9-2024-02-28-ITM-025_EN.html,,
Markéta Gregorová,"Madam President, dear colleagues, Commissioner, Mr Shipton, Julian Assange – a candidate for the 2022 Sakharov Prize – brought to light documents revealing cases of war crimes and human rights violations. For these efforts, Julian has received recognition from numerous organisations advocating for freedom of speech. A couple of hours ago in this plenary, we mourned the unjust treatment and death of a man who stood against the authority of power – a man who received the 2021 Sakharov Prize and who brought to light abuse of power and corruption. Alexei has also received recognition from freedom fighters across the world. Why am I speaking about both of them? Because we acknowledge with one of them that the person can be a symbol, regardless of their mistakes or disagreements we might have – a symbol of the fight against injustice, oppression, corruption, of David standing up to Goliath, not afraid of the consequences. We condemn consequences for one of them. I stand before you to also voice my unwavering support for what Julian Assange’s work represents: the right of citizens to be protected against states’ abuse of power, to be informed, and the right for journalists as well as individuals to expose such abuse and not fear punishment. You don’t get to pick your favourite whistleblower. You either stand with all of them or none at all.",Greens/EFA,2024-02-28,25. The extradition and prosecution of Julian Assange and implications on freedom of the press (debate),5, ,6403.0,9,False,True,False,False,False,https://www.europarl.europa.eu/doceo/document/CRE-9-2024-02-28-ITM-025_EN.html,,
Thierry Breton,"Madam President, honourable Members of Parliament, I would like to thank you for the opportunity to take part in today’s debate on the extradition and prosecution of Julian Assange and implications on freedom of press. Freedom of expression, as well as the right to information, are fundamental rights of every human being and remain an essential foundation for democracy. The EU remains a staunch supporter of these rights and of the importance of a free and independent press. Freedom of expression is also a right that carries with it special duties and responsibilities. Limitation of these rights can be imposed by states in accordance with their national legislation and international human rights obligations, in full respect of the principle of necessity and proportionality. This delicate balance, including between the protection of national security and the right of the public to be informed about potential threats to the public interest is a matter for courts to assess. Any individual, including Julian Assange, must be given the opportunity to challenge the restriction of his rights, including to freedom of expression, by the competent judicial authorities. A court in the United Kingdom is currently hearing Julian Assange’s case on his extradition to the US. The EU follows the judicial proceedings and does not comment on the ongoing court case.",-,2024-02-28,25. The extradition and prosecution of Julian Assange and implications on freedom of the press (debate),2, ,,9,False,False,True,False,False,https://www.europarl.europa.eu/doceo/document/CRE-9-2024-02-28-ITM-025_EN.html,,
Romana Jerković,"Madam President, I would like to thank all the colleagues who took the floor tonight, and especially I would like to thank the shadows for their excellent cooperation. By working together, we are one step closer to a European Digital Identity for all European citizens, valid and recognised everywhere in Europe by all 27 national public administrations. And finally, dear colleagues, digital or not, it’s no longer a choice. It’s a necessity and a process that cannot be undone. Technology is here and that’s a fact. So let’s take the best of the modern technology and let us not waste this opportunity. I invite you to support the deal tomorrow.",S&D,2024-02-28,24. European Digital Identity framework (debate),21, bill_710_ID  bill_710_ID,6399.0,9,False,True,False,False,False,https://www.europarl.europa.eu/doceo/document/CRE-9-2024-02-28-ITM-024_EN.html,,
Karen Melchior,"Madam President, the European Digital Identity Law is finally at the finish line. A European Digital Identity will give our citizens an easy and convenient way to interact with public administrations, cutting paperwork and making all of our lives easier. As Renew negotiator in the Committee on Legal Affairs, I fought to ensure that the law respects citizens’ privacy, guarantees the security of the internet, and protects encryption. I’m glad to say that we achieved this. The final text is unequivocal. Together with the European Commission’s declaration, it says that governments should not be able to upend the security architecture of the internet. End—to—end encryption should be protected, and citizens’ privacy should be guaranteed, both online and when using the wallet. Thank you very much, Commissioner, for your work during the negotiations and for ensuring this written declaration. Thank you to the negotiation teams, and in particular to my colleagues, Alin Mituța and Andrus Ansip, for hearing our concerns for the best deal for European citizens.",Renew,2024-02-28,24. European Digital Identity framework (debate),14, bill_710_ID  bill_710_ID,6401.0,9,False,True,False,False,False,https://www.europarl.europa.eu/doceo/document/CRE-9-2024-02-28-ITM-024_EN.html,,
Riho Terras,"Madam President, Commissioner, colleagues, digitalisation has been one of the two main priorities announced by President von der Leyen in the beginning of this mandate. This regulation is the flagship of European digitalisation. All European citizens will have access to a highly secure digital identity. There will be a legally binding digital signature recognised throughout the European Union. This will simplify the everyday lives of European citizens when dealing with both public administration and the private sector. It will reduce the cost of doing business and lead to significant economic benefits. In my home country, as Mr Ansip said, we have used this digital signature for 22 years and the results are very impressive. We have we save about 2% of the GDP per year due to efficiency in working hours. I am glad that we finally managed to conclude very long negotiations and a deal before the end of this mandate. It is a good deal which ensures the whole system is highly secure and trustworthy. I urge the colleagues to vote in favour of this agreement.",PPE,2024-02-28,24. European Digital Identity framework (debate),6, bill_710_ID  bill_710_ID,6398.0,9,False,True,False,False,False,https://www.europarl.europa.eu/doceo/document/CRE-9-2024-02-28-ITM-024_EN.html,,
Andrus Ansip,"Madam President, Commissioner, colleagues, in Estonia, the digital identity has been in use for more than 20 years. It has been a success story – soon people were giving 1.3 million digital signatures per week. Our population is only 1.3 million. Thanks to the digital signature, we save one working week a year, which is equal to 2% of GDP. Convenient digital solutions are available in every Member State, but unfortunately, cross-border access is poor because mutual recognition of digital identities has been a problem. I hope that with the digital identity wallet, we will take the necessary step towards the mutual recognition of digital identities in the European Union.",Renew,2024-02-28,24. European Digital Identity framework (debate),3, bill_710_ID  bill_710_ID,6401.0,9,False,True,False,False,False,https://www.europarl.europa.eu/doceo/document/CRE-9-2024-02-28-ITM-024_EN.html,,
